,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
112,Poland,2018,0.0,628.45,80.12,86.82,202.94,292.75,0.0,271.35,0.0,122.37
113,Poland,2019,0.0,673.61,87.30000000000001,71.17,231.42,279.53,0.0,257.08000000000004,0.0,143.91
114,Poland,2020,0.0,711.71,100.80999999999999,92.78999999999999,239.76,267.18000000000006,0.0,295.91,0.0,163.22
115,Poland,2021,0.0,735.04,131.6,68.96,293.47,278.69000000000005,0.0,271.32,0.0,168.35999999999999
