,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
24,Colombia,2018,0.0,0.0,0.0,0.0,0.0,191.12,0.0,0.0,0.0,0.0
25,Colombia,2019,0.0,0.0,0.0,0.0,0.0,198.64000000000001,0.0,0.0,0.0,0.0
26,Colombia,2020,0.0,0.0,0.0,0.0,0.0,199.27999999999997,0.0,0.0,0.0,0.0
27,Colombia,2021,0.0,0.0,0.0,0.0,0.0,181.93000000000004,0.0,0.0,0.0,0.0
