country,commodity,total2018,total2019,total2020,total2021,country_code,latitude,longitude,code country
France,01 Meat & meat preparations,216.64000000000001,221.9,200.52000000000004,204.26,FR,46.227638,2.213749,FR France
France,02 Dairy products & eggs,562.14,546.64,503.15999999999997,460.42,FR,46.227638,2.213749,FR France
France,04 Cereals,605.6999999999999,571.5600000000001,592.57,533.27,FR,46.227638,2.213749,FR France
France,05 Vegetables & fruit,449.67999999999995,462.0,464.56,292.60999999999996,FR,46.227638,2.213749,FR France
France,06 Sugar,191.66999999999996,185.74,144.77,101.59000000000002,FR,46.227638,2.213749,FR France
France,"07 Coffee, tea, cocoa etc",412.54999999999995,430.95,461.34,297.74,FR,46.227638,2.213749,FR France
France,08 Animal feeding stuffs,173.90000000000003,190.04000000000002,204.82999999999998,200.25,FR,46.227638,2.213749,FR France
France,09 Miscellaneous foods,251.52999999999997,262.0,283.34,241.65,FR,46.227638,2.213749,FR France
Greece,02 Dairy products & eggs,102.88000000000001,118.71999999999998,122.43,109.82,GR,39.074208,21.824312,GR Greece
Greece,05 Vegetables & fruit,126.86,123.45,130.5,111.33999999999997,GR,39.074208,21.824312,GR Greece
Ireland,00 Live animals,367.98,357.34000000000003,400.9,354.86,IE,53.41291,-8.24389,IE Ireland
Ireland,01 Meat & meat preparations,1656.1999999999998,1562.04,1479.95,1314.1799999999998,IE,53.41291,-8.24389,IE Ireland
Ireland,02 Dairy products & eggs,835.8599999999999,821.5,780.52,688.8499999999999,IE,53.41291,-8.24389,IE Ireland
Ireland,04 Cereals,347.91999999999996,409.56,443.28,400.28,IE,53.41291,-8.24389,IE Ireland
Ireland,05 Vegetables & fruit,254.73000000000002,267.92,252.96,290.61,IE,53.41291,-8.24389,IE Ireland
Ireland,"07 Coffee, tea, cocoa etc",205.71999999999997,219.34999999999997,237.78,203.65999999999997,IE,53.41291,-8.24389,IE Ireland
Ireland,08 Animal feeding stuffs,329.25,331.09000000000003,363.71,244.52999999999997,IE,53.41291,-8.24389,IE Ireland
Ireland,09 Miscellaneous foods,436.75,413.33000000000004,454.19,297.27,IE,53.41291,-8.24389,IE Ireland
Israel,05 Vegetables & fruit,84.07999999999998,82.08000000000001,87.16999999999999,105.53000000000002,IL,31.046051,34.851612,IL Israel
India,03 Fish & shellfish,106.69000000000001,106.11,96.90000000000002,114.02000000000001,IN,20.593684,78.96288,IN India
India,04 Cereals,78.66000000000001,113.05000000000001,145.48,152.1,IN,20.593684,78.96288,IN India
India,05 Vegetables & fruit,156.93,159.84000000000003,157.69,176.11999999999998,IN,20.593684,78.96288,IN India
India,"07 Coffee, tea, cocoa etc",104.32,98.64,98.30000000000001,103.41,IN,20.593684,78.96288,IN India
Iceland,03 Fish & shellfish,319.24999999999994,323.51,302.46,280.72,IS,64.963051,-19.020835,IS Iceland
Italy,01 Meat & meat preparations,189.6,185.28,182.70999999999998,178.63000000000002,IT,41.87194,12.56738,IT Italy
Italy,02 Dairy products & eggs,255.44000000000003,253.43,277.21,253.49,IT,41.87194,12.56738,IT Italy
Italy,04 Cereals,297.48999999999995,350.52000000000004,388.93999999999994,371.98,IT,41.87194,12.56738,IT Italy
Italy,05 Vegetables & fruit,559.51,608.22,659.4,624.43,IT,41.87194,12.56738,IT Italy
Italy,"07 Coffee, tea, cocoa etc",166.82,172.5,185.23,198.61,IT,41.87194,12.56738,IT Italy
Italy,09 Miscellaneous foods,298.39,354.15999999999997,397.37000000000006,358.7900000000001,IT,41.87194,12.56738,IT Italy
Kenya,05 Vegetables & fruit,103.05,91.86,96.88,128.93,KE,-0.023559,37.906193,KE Kenya
Kenya,"07 Coffee, tea, cocoa etc",162.68,122.86000000000001,139.76000000000002,108.19999999999999,KE,-0.023559,37.906193,KE Kenya
Netherlands,01 Meat & meat preparations,1060.65,1052.22,898.51,750.1500000000001,NL,52.132633,5.291266,NL Netherlands
Netherlands,02 Dairy products & eggs,417.81999999999994,374.43,377.44,260.68999999999994,NL,52.132633,5.291266,NL Netherlands
Netherlands,03 Fish & shellfish,125.38,120.65,99.15,92.67,NL,52.132633,5.291266,NL Netherlands
Netherlands,04 Cereals,288.62,326.47,303.9,231.52000000000004,NL,52.132633,5.291266,NL Netherlands
Netherlands,05 Vegetables & fruit,1572.9899999999998,1638.8400000000001,1548.2400000000002,1367.31,NL,52.132633,5.291266,NL Netherlands
Netherlands,06 Sugar,128.92,115.78,114.68,71.36,NL,52.132633,5.291266,NL Netherlands
Netherlands,"07 Coffee, tea, cocoa etc",344.05,363.44,322.8399999999999,303.05,NL,52.132633,5.291266,NL Netherlands
