,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
84,Italy,2018,0.0,189.6,255.44000000000003,0.0,297.48999999999995,559.51,0.0,166.82,0.0,298.39
85,Italy,2019,0.0,185.28,253.43,0.0,350.52000000000004,608.22,0.0,172.5,0.0,354.15999999999997
86,Italy,2020,0.0,182.70999999999998,277.21,0.0,388.93999999999994,659.4,0.0,185.23,0.0,397.37000000000006
87,Italy,2021,0.0,178.63000000000002,253.49,0.0,371.98,624.43,0.0,198.61,0.0,358.7900000000001
