,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
4,Belgium,2018,0.0,183.50000000000003,225.19,0.0,322.08,765.8799999999999,141.82,220.85000000000002,0.0,169.37
5,Belgium,2019,0.0,194.21,203.49,0.0,306.53000000000003,858.0200000000001,134.15,266.10999999999996,0.0,169.08
6,Belgium,2020,0.0,154.88,195.13,0.0,318.24,802.5699999999999,111.93,293.2,0.0,178.36999999999998
7,Belgium,2021,0.0,247.84000000000003,269.56,0.0,395.75,693.27,161.39,296.23,0.0,161.66000000000003
