,commodity,country,imports,country_code,latitude,longitude,code country
92,08 Animal feeding stuffs,Argentina,1766.88,AR,-38.416097,-63.616672,AR Argentina
93,08 Animal feeding stuffs,China,353.49,CN,35.86166,104.195397,CN China
94,08 Animal feeding stuffs,France,769.02,FR,46.227638,2.213749,FR France
95,08 Animal feeding stuffs,Germany,773.0699999999999,DE,51.165691,10.451526,DE Germany
96,08 Animal feeding stuffs,Ireland,1268.58,IE,53.41291,-8.24389,IE Ireland
97,08 Animal feeding stuffs,Netherlands,1364.51,NL,52.132633,5.291266,NL Netherlands
98,08 Animal feeding stuffs,United States,480.8,US,37.09024,-95.712891,US United States
