country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
Italy,2019,0.0,185.28,253.43,0.0,350.52000000000004,608.22,0.0,172.5,0.0,354.15999999999997
Italy,2020,0.0,182.70999999999998,277.21,0.0,388.93999999999994,659.4,0.0,185.23,0.0,397.37000000000006
Italy,2021,0.0,178.63000000000002,253.49,0.0,371.98,624.43,0.0,198.61,0.0,358.7900000000001
Kenya,2018,0.0,0.0,0.0,0.0,0.0,103.05,0.0,162.68,0.0,0.0
Kenya,2019,0.0,0.0,0.0,0.0,0.0,91.86,0.0,122.86000000000001,0.0,0.0
Kenya,2020,0.0,0.0,0.0,0.0,0.0,96.88,0.0,139.76000000000002,0.0,0.0
Kenya,2021,0.0,0.0,0.0,0.0,0.0,128.93,0.0,108.19999999999999,0.0,0.0
Netherlands,2018,0.0,1060.65,417.81999999999994,125.38,288.62,1572.9899999999998,128.92,344.05,344.34,457.70000000000005
Netherlands,2019,0.0,1052.22,374.43,120.65,326.47,1638.8400000000001,115.78,363.44,353.13000000000005,510.47999999999996
Netherlands,2020,0.0,898.51,377.44,99.15,303.9,1548.2400000000002,114.68,322.8399999999999,360.64000000000004,513.69
Netherlands,2021,0.0,750.1500000000001,260.68999999999994,92.67,231.52000000000004,1367.31,71.36,303.05,306.4,421.33
New Zealand,2018,0.0,290.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,2019,0.0,229.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,2020,0.0,232.64000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,2021,0.0,201.41000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,2018,0.0,0.0,0.0,131.5,0.0,0.0,0.0,0.0,0.0,0.0
Norway,2019,0.0,0.0,0.0,161.54,0.0,0.0,0.0,0.0,0.0,0.0
Norway,2020,0.0,0.0,0.0,141.49,0.0,0.0,0.0,0.0,0.0,0.0
Norway,2021,0.0,0.0,0.0,500.84999999999997,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,2018,0.0,0.0,0.0,0.0,73.09,0.0,0.0,0.0,0.0,0.0
Pakistan,2019,0.0,0.0,0.0,0.0,76.94,0.0,0.0,0.0,0.0,0.0
Pakistan,2020,0.0,0.0,0.0,0.0,94.02999999999999,0.0,0.0,0.0,0.0,0.0
Pakistan,2021,0.0,0.0,0.0,0.0,91.28000000000002,0.0,0.0,0.0,0.0,0.0
Peru,2018,0.0,0.0,0.0,0.0,0.0,265.3,0.0,0.0,0.0,0.0
Peru,2019,0.0,0.0,0.0,0.0,0.0,283.44,0.0,0.0,0.0,0.0
Peru,2020,0.0,0.0,0.0,0.0,0.0,292.33000000000004,0.0,0.0,0.0,0.0
Peru,2021,0.0,0.0,0.0,0.0,0.0,293.73,0.0,0.0,0.0,0.0
Poland,2018,0.0,628.45,80.12,86.82,202.94,292.75,0.0,271.35,0.0,122.37
Poland,2019,0.0,673.61,87.30000000000001,71.17,231.42,279.53,0.0,257.08000000000004,0.0,143.91
Poland,2020,0.0,711.71,100.80999999999999,92.78999999999999,239.76,267.18000000000006,0.0,295.91,0.0,163.22
Poland,2021,0.0,735.04,131.6,68.96,293.47,278.69000000000005,0.0,271.32,0.0,168.35999999999999
Portugal,2018,0.0,0.0,0.0,0.0,0.0,108.23000000000002,0.0,0.0,0.0,0.0
Portugal,2019,0.0,0.0,0.0,0.0,0.0,118.97,0.0,0.0,0.0,0.0
Portugal,2020,0.0,0.0,0.0,0.0,0.0,123.09,0.0,0.0,0.0,0.0
Portugal,2021,0.0,0.0,0.0,0.0,0.0,119.98,0.0,0.0,0.0,0.0
