,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
20,China,2018,0.0,0.0,0.0,211.17,0.0,143.6,53.92999999999999,0.0,78.96,76.54
21,China,2019,0.0,0.0,0.0,287.84,0.0,157.44000000000003,55.620000000000005,0.0,90.98000000000002,95.75999999999999
22,China,2020,0.0,0.0,0.0,260.65,0.0,151.58,51.81999999999999,0.0,85.43999999999998,108.69
23,China,2021,0.0,0.0,0.0,194.23,0.0,147.0,57.11000000000001,0.0,98.11,116.19000000000001
