,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
124,Spain,2018,0.0,190.69,71.23999999999998,0.0,188.22999999999996,1921.1100000000001,0.0,150.86,0.0,87.39999999999998
125,Spain,2019,0.0,213.93,76.25,0.0,200.61,2047.03,0.0,146.66000000000003,0.0,135.63
126,Spain,2020,0.0,223.38,67.36,0.0,200.27000000000004,2122.65,0.0,162.20999999999998,0.0,127.07
127,Spain,2021,0.0,192.97,69.50999999999999,0.0,173.89000000000001,1843.5199999999998,0.0,119.22,0.0,114.62
