,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
116,Portugal,2018,0.0,0.0,0.0,0.0,0.0,108.23000000000002,0.0,0.0,0.0,0.0
117,Portugal,2019,0.0,0.0,0.0,0.0,0.0,118.97,0.0,0.0,0.0,0.0
118,Portugal,2020,0.0,0.0,0.0,0.0,0.0,123.09,0.0,0.0,0.0,0.0
119,Portugal,2021,0.0,0.0,0.0,0.0,0.0,119.98,0.0,0.0,0.0,0.0
