,country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
144,United States,2018,0.0,0.0,0.0,0.0,0.0,345.58,0.0,0.0,129.07999999999998,191.57000000000002
145,United States,2019,0.0,0.0,0.0,0.0,0.0,339.84,0.0,0.0,110.15000000000002,197.59999999999997
146,United States,2020,0.0,0.0,0.0,0.0,0.0,326.34000000000003,0.0,0.0,86.34,211.77
147,United States,2021,0.0,0.0,0.0,0.0,0.0,267.87,0.0,0.0,155.23000000000002,134.67
