,commodity,country,imports,country_code,latitude,longitude,code country
100,06 Sugar,Belgium,549.29,BE,50.503887,4.469936,BE Belgium
101,06 Sugar,China,218.48,CN,35.86166,104.195397,CN China
102,06 Sugar,France,623.77,FR,46.227638,2.213749,FR France
103,06 Sugar,Germany,433.49,DE,51.165691,10.451526,DE Germany
104,06 Sugar,Ireland,181.94,IE,53.41291,-8.24389,IE Ireland
105,06 Sugar,Netherlands,430.74,NL,52.132633,5.291266,NL Netherlands
106,06 Sugar,Poland,148.19,PL,51.919438,19.145136,PL Poland
107,06 Sugar,Spain,214.07,ES,40.463667,-3.74922,ES Spain
