Country,total2018,total2019,total2020,total2021,Latitude,Longitude
Iraq,0.01,0.04,0.11,2.36,330.0,440.0
Oman,3.7899999999999996,11.66,3.05,2.05,210.0,570.0
Greenland,0.0,2.28,0.0,2.03,720.0,-400.0
Trinidad and Tobago,1.29,1.5299999999999998,2.17,1.9000000000000001,110.0,-610.0
Zambia,2.8399999999999994,2.29,1.18,1.6800000000000002,-150.0,300.0
Angola,1.6199999999999999,0.88,0.060000000000000005,1.4300000000000002,-125.0,185.0
Suriname,0.38,0.35000000000000003,0.53,1.35,40.0,-560.0
Belarus,5.22,0.47,1.1400000000000001,1.35,530.0,280.0
Luxembourg,5.7,4.949999999999999,3.9199999999999995,0.97,497.5,61.7
Afghanistan,0.30999999999999994,0.38000000000000006,0.62,0.88,330.0,650.0
Albania,0.4000000000000001,0.4200000000000001,0.34,0.61,410.0,200.0
Yemen,0.1,0.25,0.46,0.5800000000000001,150.0,480.0
Barbados,0.5,0.64,0.45,0.53,131.7,-595.3
Bosnia and Herzegovina,0.31000000000000005,0.37,0.67,0.48000000000000004,440.0,180.0
Mongolia,0.0,0.04,0.07,0.41000000000000003,460.0,1050.0
Georgia,0.01,0.02,1.13,0.38,420.0,435.0
Mali,0.62,0.41000000000000003,0.4,0.36000000000000004,170.0,-40.0
Qatar,0.29000000000000004,0.15,0.04,0.31000000000000005,255.0,512.5
Marshall Islands,0.89,0.64,0.37,0.29000000000000004,90.0,1680.0
Cayman Islands,0.0,0.0,0.0,0.28,195.0,-805.0
Fiji,3.93,16.57,25.64,0.28,-180.0,1750.0
Venezuela,0.51,11.1,0.72,0.27,80.0,-660.0
Uzbekistan,0.17,0.13,0.12,0.25,410.0,640.0
Benin,1.8800000000000003,1.2300000000000002,0.65,0.24000000000000002,95.0,22.5
Sierra Leone,0.09999999999999999,0.1,0.17,0.22999999999999998,85.0,-115.0
San Marino,0.0,0.09,0.17,0.21,437.70000000000005,124.2
Bermuda,0.0,0.0,0.0,0.19,323.29999999999995,-647.5
Kazakhstan,4.05,0.16,0.08,0.19,480.0,680.0
Lesotho,0.1,0.12999999999999998,0.11,0.15000000000000002,-295.0,285.0
Togo,0.0,0.02,0.07,0.14999999999999997,80.0,11.7
Andorra,0.0,0.0,0.0,0.14,425.0,15.0
Dominica,0.22000000000000003,0.09,0.060000000000000005,0.13999999999999999,154.2,-613.3
Grenada,0.13,0.10999999999999999,0.04,0.12000000000000001,121.19999999999999,-616.7
Cuba,0.14,0.29000000000000004,0.27,0.12000000000000001,215.0,-800.0
Azerbaijan,0.0,0.0,0.0,0.12000000000000001,405.0,475.0
Turks and Caicos Islands,0.0,0.04,0.02,0.11000000000000001,217.5,-715.8
Antigua and Barbuda,0.0,0.1,0.07999999999999999,0.11,170.5,-618.0
Nepal,0.53,0.42,0.12,0.09,280.0,840.0
Botswana,13.33,0.15,0.0,0.09,-220.0,240.0
Sudan,0.68,0.14,0.16,0.08,150.0,300.0
Comoros,0.14,0.08,0.0,0.07,-121.7,442.5
Bahrain,0.09999999999999999,0.16,0.09,0.06999999999999999,260.0,505.5
Gabon,0.06,0.05,0.0,0.060000000000000005,-10.0,117.5
Turkmenistan,0.0,0.01,0.0,0.05,400.0,600.0
Niger,0.0,0.0,0.0,0.05,160.0,80.0
Solomon Islands,0.54,0.38,0.01,0.04,-80.0,1590.0
Liberia,0.0,0.0,0.1,0.04,65.0,-95.0
Armenia,0.030000000000000002,0.0,0.02,0.04,400.0,450.0
Mauritania,0.02,0.1,0.35000000000000003,0.04,200.0,-120.0
Anguilla,0.0,0.0,0.0,0.03,182.5,-631.7
Kuwait,0.01,0.03,0.0,0.03,293.4,476.59999999999997
Burundi,0.27,0.34,0.19,0.02,-35.0,300.0
New Caledonia,0.05,0.05,0.02,0.02,-215.0,1655.0
Liechtenstein,0.08,0.11,0.0,0.02,471.70000000000005,95.3
Tonga,0.05,0.06999999999999999,0.01,0.02,-200.0,-1750.0
Somalia,0.03,0.05,0.0,0.01,100.0,490.0
British Indian Ocean Territory,0.0,0.0,0.0,0.01,-60.0,715.0
Congo,0.16000000000000003,0.24000000000000002,0.27,0.01,-10.0,150.0
Tajikistan,0.0,0.01,0.02,0.0,390.0,710.0
Wallis and Futuna,0.0,0.0,0.0,0.0,-133.0,-1762.0
American Samoa,0.0,0.0,0.0,0.0,-143.3,-1700.0
Aruba,0.0,0.0,0.0,0.0,125.0,-699.7
Bhutan,0.0,0.0,0.0,0.0,275.0,905.0
Tuvalu,0.0,0.0,0.0,0.0,-80.0,1780.0
Vanuatu,0.02,0.03,0.0,0.0,-160.0,1670.0
Antarctica,0.01,0.01,0.0,0.0,-900.0,0.0
Macao,0.05,0.04,0.0,0.0,221.70000000000002,1135.5
Bouvet Island,0.0,0.0,0.0,0.0,-544.3,34.0
Cape Verde,0.0,0.0,0.0,0.0,160.0,-240.0
Kyrgyzstan,0.02,0.01,0.0,0.0,410.0,750.0
Kiribati,0.0,0.0,0.0,0.0,14.2,1730.0
Montenegro,0.01,0.0,0.0,0.0,420.0,190.0
Montserrat,0.01,0.0,0.0,0.0,167.5,-622.0
Nauru,0.0,0.0,0.0,0.0,-5.300000000000001,1669.1999999999998
Haiti,0.0,0.0,0.0,0.0,190.0,-724.2
Guinea,1.16,0.37,0.08,0.0,110.0,-100.0
Guam,0.0,0.42,0.37,0.0,134.70000000000002,1447.8
Norfolk Island,0.0,0.0,0.0,0.0,-290.3,1679.5
Northern Mariana Islands,0.0,0.0,0.0,0.0,152.0,1457.5
Gibraltar,0.01,0.01,0.0,0.0,361.8,-53.7
Palau,0.03,0.0,0.0,0.0,75.0,1345.0
French Southern Territories,0.0,0.0,0.0,0.0,-430.0,670.0
French Polynesia,0.0,0.0,0.0,0.0,-150.0,-1400.0
Eritrea,0.0,0.0,0.0,0.0,150.0,390.0
Equatorial Guinea,0.22,0.0,0.0,0.0,20.0,100.0
Cook Islands,0.0,0.05,0.0,0.0,-212.3,-1597.7
Samoa,0.0,0.0,0.01,0.0,-135.8,-1723.3000000000002
Christmas Island,0.0,0.0,0.0,0.0,-105.0,1056.7
Chad,0.0,0.0,0.0,0.0,150.0,190.0
Central African Republic,0.0,0.01,0.0,0.0,70.0,210.0
Sao Tome and Principe,0.0,0.01,0.0,0.0,10.0,70.0
